latitude,longitude,bright_ti4,scan,track,type
-2.78686,120.3739,325.5,0.57,0.52,0
-0.8244,127.86865,332.6,0.39,0.36,3
-1.43265,132.3212,333.3,0.57,0.43,0
0.90354,127.6283,337.7,0.39,0.36,0
-0.86484,122.20721,329.5,0.4,0.44,0
-0.33577,128.01337,331.2,0.39,0.36,0
0.55568,121.89539,334.5,0.4,0.44,0
0.52534,121.49609,340.5,0.42,0.46,0
0.52593,121.49989,341.7,0.42,0.46,0
3.08473,117.4119,340.7,0.37,0.58,0
3.08695,117.40968,332.3,0.37,0.58,0
3.08748,117.41302,341.1,0.37,0.58,0
-7.59789,107.98572,329.9,0.54,0.42,0
-6.37829,108.39977,333.4,0.4,0.44,3
-4.84498,105.76321,329.1,0.45,0.39,0
-2.6976,105.94162,331.9,0.48,0.4,0
-1.81983,136.75729,297.5,0.4,0.44,3
1.4929,127.63287,301.1,0.45,0.63,1
1.49851,127.63509,313,0.45,0.63,1
1.49305,127.63482,329.7,0.45,0.63,1
2.77466,125.40942,301.4,0.61,0.53,1
1.49864,127.63722,305.8,0.45,0.63,1
1.49925,127.63339,300.8,0.45,0.63,1
1.49221,127.63698,326.6,0.45,0.63,1
-0.96237,117.1496,311,0.39,0.36,3
-2.58282,121.37788,328.8,0.4,0.44,2
-2.5782,121.37476,335.1,0.4,0.44,2
-2.57875,121.37843,345.9,0.4,0.44,2
-4.94484,105.66041,302.8,0.43,0.62,0
-8.119,112.92774,322.3,0.42,0.38,1
-6.01068,105.98296,311.6,0.39,0.59,2
-8.11504,112.92519,338.1,0.42,0.38,1
-6.01037,105.98263,310.8,0.39,0.59,2
-8.34363,115.50969,308.5,0.39,0.36,3
-8.13025,112.93159,297.7,0.42,0.38,1
-8.11106,112.92245,297,0.42,0.38,1
-8.34308,115.50619,345.5,0.39,0.36,3
-4.93984,105.66535,310.3,0.43,0.62,0
-8.3464,115.50568,295.7,0.39,0.36,3
-8.11446,112.92161,312.5,0.42,0.38,1
-8.12294,112.9302,330,0.42,0.38,1
-8.12631,112.92916,299.7,0.42,0.38,1
-8.11841,112.92416,307.9,0.42,0.38,1
-8.12237,112.92669,321,0.42,0.38,1
-8.12687,112.93256,299.7,0.42,0.38,1
-8.13421,112.93413,304.7,0.42,0.38,1
-8.20205,119.07504,297.2,0.51,0.41,1
-8.19737,119.06956,322.8,0.51,0.41,1
-8.19821,119.07526,302,0.51,0.41,1
-4.93916,105.66146,305.9,0.43,0.62,0
-4.94552,105.66432,316.3,0.43,0.62,0
-1.88897,124.89825,329.2,0.57,0.52,0
-4.31527,122.74323,344.1,0.43,0.62,0
-4.31466,122.74739,367,0.43,0.62,0
-4.31633,122.74328,335.5,0.43,0.62,0
-4.36648,122.76192,330,0.43,0.62,0
-4.31576,122.74742,367,0.43,0.62,0
-1.70179,123.59261,331.1,0.35,0.56,0
1.05791,121.72213,354.9,0.42,0.61,0
-0.80347,123.13476,333.2,0.36,0.57,0
1.0601,121.71964,367,0.42,0.61,0
-1.36724,121.58292,326.6,0.47,0.64,0
-1.00789,123.30176,332.5,0.35,0.57,0
1.06074,121.72353,336.1,0.42,0.61,0
1.0636,121.72136,346.7,0.42,0.61,0
-6.38492,107.21423,333.3,0.39,0.36,0
-6.37738,108.40073,330.8,0.39,0.36,3
-6.51215,106.88309,329.8,0.39,0.36,0
-6.35099,107.28094,331.5,0.39,0.36,0
-6.36258,107.27192,331.1,0.39,0.36,0
-6.08641,106.9987,333.2,0.39,0.36,3
-4.94858,105.6591,367,0.42,0.37,0
-3.29761,104.56148,335.1,0.44,0.39,0
-4.95147,105.66336,345.7,0.42,0.37,0
-4.94802,105.66286,351.9,0.42,0.37,0
-4.94914,105.65535,367,0.42,0.37,0
-4.95091,105.66711,337.6,0.42,0.37,0
-4.94169,105.6581,350.5,0.42,0.37,0
3.55855,116.68294,326.1,0.49,0.65,0
3.55921,116.6874,326.3,0.49,0.65,0
2.77592,125.40939,310.4,0.46,0.39,1
2.77663,125.40496,301.5,0.46,0.39,1
-0.71563,116.92214,306.2,0.55,0.43,0
0.61408,117.44416,299.4,0.54,0.42,2
-0.96353,117.14871,307.9,0.53,0.42,2
-2.582,121.37746,349.9,0.38,0.36,2
-2.57869,121.37798,348.2,0.38,0.36,2
-2.58146,121.37401,320,0.38,0.36,2
-2.57815,121.37453,329.2,0.38,0.36,2
-8.2003,119.07108,328.7,0.39,0.36,1
-8.19643,119.06816,295.3,0.39,0.36,1
-8.20192,119.08123,301,0.39,0.36,1
-8.19699,119.07169,334.9,0.39,0.36,1
-1.1422,103.46057,311.5,0.57,0.52,0
-1.00529,103.36371,302.9,0.56,0.51,2
-1.13743,103.46133,303.9,0.57,0.52,0
-5.81134,139.51506,334.3,0.4,0.37,3
-1.81919,136.75702,347.6,0.38,0.36,3
-2.62669,140.57982,334.4,0.47,0.4,0
-0.85369,134.10078,335,0.45,0.39,0
-7.79061,112.01534,328.8,0.39,0.36,0
-2.45569,119.1566,328,0.55,0.51,0
0.56878,120.40722,332.5,0.37,0.58,0
0.56614,117.25594,336.9,0.46,0.47,0
2.77711,125.40349,321.6,0.4,0.37,1
1.49431,127.63491,341.3,0.39,0.36,1
1.49763,127.63548,319.2,0.39,0.36,1
1.49818,127.63202,310,0.39,0.36,1
2.77656,125.4071,306.3,0.4,0.37,1
1.11461,124.73605,302.3,0.41,0.37,1
0.10739,117.4701,309,0.36,0.57,2
-0.5812,117.38594,300.1,0.35,0.57,2
-8.19872,119.07928,300.4,0.42,0.45,1
-8.19657,119.06663,299.8,0.42,0.45,1
-8.19729,119.07091,348,0.42,0.45,1
-8.1992,119.08212,302,0.42,0.45,1
-8.12359,112.9295,313.7,0.54,0.67,1
-8.11282,112.9066,303.6,0.54,0.68,1
-8.11537,112.92013,307.8,0.54,0.68,1
-8.10858,112.91833,314.5,0.54,0.68,1
-8.3421,115.50596,322.5,0.36,0.57,3
-8.34287,115.50619,325.7,0.36,0.57,3
-8.34265,115.50895,299.8,0.36,0.57,3
-8.12293,112.92603,295.1,0.54,0.68,1
-8.11618,112.92442,301.5,0.54,0.68,1
-1.81878,136.75826,339.9,0.4,0.44,3
-8.34265,115.50822,354.3,0.43,0.38,3
-2.57747,121.37923,340.3,0.56,0.43,2
-2.58004,121.37672,332.2,0.56,0.43,2
-1.21489,122.88638,339.9,0.49,0.49,3
-2.83403,122.15356,329.5,0.42,0.45,0
-1.37815,121.73199,332.7,0.41,0.45,0
-2.58949,120.79065,335.6,0.52,0.42,0
-2.74445,120.41971,329.9,0.49,0.41,0
-2.18989,119.17869,325.5,0.44,0.38,0
-2.15285,121.36253,331.9,0.57,0.43,0
-2.15469,121.36074,337,0.57,0.43,0
-2.1536,121.35757,331.9,0.57,0.43,0
0.50817,121.35869,340.3,0.41,0.45,0
-1.10817,121.44161,335.4,0.4,0.44,0
0.92744,123.25289,330.8,0.56,0.51,3
0.59153,117.22923,340.9,0.4,0.37,0
0.60878,117.2522,326.1,0.4,0.37,0
0.92697,123.24926,340.9,0.56,0.52,3
3.79164,117.74671,332.9,0.43,0.38,0
1.49855,127.63155,296.9,0.5,0.41,1
-1.53172,127.42265,310.8,0.48,0.4,0
-1.81649,136.75731,321.2,0.45,0.47,2
-1.82085,136.75687,318.5,0.45,0.47,3
-8.19771,119.07119,317.6,0.43,0.62,1
-8.19948,119.08058,312.4,0.43,0.62,1
-8.19826,119.07957,313.2,0.43,0.62,1
-8.19568,119.06044,300.8,0.43,0.62,1
